HSHD_NUM,total_spend,total_visits,days_since_last_purchase,LOYALTY_FLAG,churned,churn_prob,churn_risk
2453,9832.709943395108,3356,4,0,0,0.0,0
4606,6890.889956489205,1575,1,0,0,0.0,0
2504,6425.6399503052235,1413,3,0,0,0.0,0
2507,14749.309945875779,5024,0,0,0,0.0,0
2512,32915.62979305722,10034,0,0,0,0.0,0
2519,11951.579869538546,2739,6,0,0,0.0,0
2531,10951.369922958314,2662,25,0,0,0.0,0
2541,10458.27994463034,3127,4,0,0,0.0,0
2555,6386.9399621635675,1639,1,0,0,0.0,0
2572,9195.439953133464,2554,10,0,0,0.0,0
2573,11563.34988887608,2446,0,0,0,0.0,0
2575,18340.699934935197,4792,1,0,0,0.0,0
2584,5639.719972521067,1881,6,0,0,0.0,0
2607,9469.969951035455,3371,1,0,0,0.0,0
2617,7437.639944002032,2110,1,0,0,0.0,0
2629,29054.04974323325,7111,0,0,0,0.0,0
2630,6891.849920332432,1307,0,0,0,0.0,0
2638,18644.269847154617,4110,5,0,0,0.0,0
2639,16731.759861394763,4380,5,0,0,0.0,0
2652,5003.369966791943,1358,3,0,0,0.0,0
2654,2695.5199947804213,1273,3,0,0,0.0,0
172,5569.529971491545,1719,11,0,0,0.0,0
2707,4526.599990047514,1868,2,0,0,0.0,0
2710,9087.139941103756,2241,7,0,0,0.0,0
4607,12953.739886835217,2556,11,0,0,0.0,0
2745,13562.529880732298,3117,0,0,0,0.0,0
2756,23966.549875840545,3786,1,0,0,0.0,0
2762,10015.439913490787,2389,2,0,0,0.0,0
2780,20704.379894182086,6672,0,0,0,0.0,0
2781,4142.829954043031,1150,12,0,0,0.0,0
4614,5575.3599716722965,1415,2,0,0,0.0,0
4623,7849.569935411215,1919,5,0,0,0.0,0
2844,7193.2299473285675,1793,4,0,0,0.0,0
2847,2729.089977491647,752,5,0,0,0.0,0
2874,8073.0099325962365,2010,4,0,0,0.0,0
4713,21038.889855271205,6113,0,0,0,0.0,0
2934,86.33999919891357,21,47,0,0,0.0,0
4716,5241.529963940382,1050,2,0,0,0.0,0
4719,9423.829953193665,2419,0,0,0,0.0,0
2986,7758.389952298254,3096,15,0,0,0.0,0
2990,6060.369975818321,1967,6,0,0,0.0,0
4724,3402.349981494248,1196,2,0,0,0.0,0
3003,8400.139923900366,1936,4,0,0,0.0,0
3004,8555.209929138422,2206,1,0,0,0.0,0
3014,16761.64986807853,5029,2,0,0,0.0,0
3022,18708.569861352444,4622,1,0,0,0.0,0
3030,7951.299944490194,2515,0,0,0,0.0,0
3044,7987.679930493236,2174,3,0,0,0.0,0
3049,4478.229965567589,1225,2,0,0,0.0,0
3060,6828.959964644164,1712,1,0,0,0.0,0
3105,12158.299873799086,2672,3,0,0,0.0,0
3111,9982.569951422513,3315,5,0,0,0.0,0
3151,12124.769876599312,2742,0,0,0,0.0,0
3163,6894.569976091385,1954,10,0,0,0.0,0
3164,13468.869829401374,2879,6,0,0,0.0,0
3186,9105.8699065689,2465,2,0,0,0.0,0
3205,5647.739967603236,1687,1,0,0,0.0,0
3214,23485.87988754362,4462,0,0,0,0.0,0
3220,10843.64992120862,3247,0,0,0,0.0,0
3232,12428.049939924851,3599,4,0,0,0.0,0
3243,14180.089890882373,3881,0,0,0,0.0,0
3246,14779.829877451062,4075,0,0,0,0.0,0
3247,8750.939937591553,2616,1,0,0,0.0,0
4725,7784.45993347466,2669,3,0,0,0.0,0
3267,13380.289841756225,2756,0,0,0,0.0,0
3274,3486.8899563848972,599,13,0,0,0.0,0
3314,19030.31977968663,3623,0,0,0,0.0,0
3319,12381.989885926247,2750,0,0,0,0.0,0
3358,12089.489867538214,2761,0,0,0,0.0,0
3398,15925.56985449791,3412,2,0,0,0.0,0
3411,15951.319866411388,4588,1,0,0,0.0,0
3418,5943.609969377518,1641,4,0,0,0.0,0
3442,7150.439950605854,2167,1,0,0,0.0,0
3445,5634.689993023872,1163,4,0,0,0.0,0
3467,7432.609937027097,1795,3,0,0,0.0,0
3474,5120.159976994619,1739,2,0,0,0.0,0
3476,5785.819963157177,1761,2,0,0,0.0,0
3486,10562.29992826283,2675,2,0,0,0.0,0
3496,26374.709771499038,6665,7,0,0,0.0,0
3523,6529.499972999096,1774,6,0,0,0.0,0
3551,16907.019894644618,4253,0,0,0,0.0,0
3582,16650.499845147133,4079,4,0,0,0.0,0
3603,9073.869944989681,3063,4,0,0,0.0,0
4740,6265.279949963093,1524,0,0,0,0.0,0
4745,8770.719958491623,2786,0,0,0,0.0,0
4757,4875.349950432777,1150,41,0,0,0.0,0
3635,14655.109922260046,3975,0,0,0,0.0,0
3655,11676.389899075031,2191,8,0,0,0.0,0
4766,15210.07990205288,5119,6,0,0,0.0,0
3672,16535.2998874709,4738,2,0,0,0.0,0
4774,5120.779946222901,1201,7,0,0,0.0,0
3687,10120.959964305162,2790,0,0,0,0.0,0
4778,15215.069882631302,3973,0,0,0,0.0,0
183,19960.619828861207,4563,3,0,0,0.0,0
3733,415.129994392395,90,14,0,0,0.0,0
184,6129.879974767566,1960,2,0,0,0.0,0
196,5798.40996478498,1179,5,0,0,0.0,0
3758,12377.599920876324,3464,0,0,0,0.0,0
3784,13112.139928475022,4112,0,0,0,0.0,0
3785,21164.559853663668,4996,2,0,0,0.0,0
3800,4906.6399748027325,1545,3,0,0,0.0,0
3809,22705.09976742789,4956,2,0,0,0.0,0
3811,6155.159986287355,3501,4,0,0,0.0,0
3819,2466.729990556836,849,7,0,0,0.0,0
3820,11606.289891690016,3010,1,0,0,0.0,0
3840,18246.46989224851,5426,0,0,0,0.0,0
3842,5945.61996409297,2072,25,0,0,0.0,0
3881,4485.909954488277,1157,4,0,0,0.0,0
3889,19505.579843413085,5056,1,0,0,0.0,0
3893,10828.679958244786,4015,1,0,0,0.0,0
3895,6422.539978027344,2893,2,0,0,0.0,0
3904,28125.349747106433,7780,0,0,0,0.0,0
3940,16783.39982882142,3849,4,0,0,0.0,0
3964,11293.159934898838,3582,8,0,0,0.0,0
3969,6578.269959896803,1616,9,0,0,0.0,0
3977,6680.819937244058,1520,0,0,0,0.0,0
3988,3610.2699657678604,507,10,0,0,0.0,0
3993,8480.389961108565,2391,10,0,0,0.0,0
4005,9618.599932059646,2613,1,0,0,0.0,0
4011,12515.929907917976,2768,0,0,0,0.0,0
4017,5088.4099510237575,1386,1,0,0,0.0,0
4037,12022.74988361448,2457,6,0,0,0.0,0
4057,8085.609952092171,2384,7,0,0,0.0,0
210,14733.28986236453,3796,0,0,0,0.0,0
242,7042.439902469516,1310,0,0,0,0.0,0
4065,7574.029955431819,2117,14,0,0,0.0,0
4078,24072.079816106707,5714,1,0,0,0.0,0
4085,15605.819883823395,4488,0,0,0,0.0,0
308,15136.169906958938,6396,1,0,0,0.0,0
4126,19202.019777793437,3556,2,0,0,0.0,0
4146,12285.729919940233,3407,2,0,0,0.0,0
4159,5114.579943358898,1520,19,0,0,0.0,0
4171,8130.739943057299,2718,0,0,0,0.0,0
4183,5680.73997631669,2578,7,0,0,0.0,0
4214,10465.30987970531,2295,8,0,0,0.0,0
4218,23879.559832580388,5500,5,0,0,0.0,0
4249,12202.229899674654,3078,2,0,0,0.0,0
4264,8546.519957538694,2769,5,0,0,0.0,0
361,7792.609944356605,1953,2,0,0,0.0,0
4293,16672.159812420607,3241,0,0,0,0.0,0
401,13577.079961346462,4666,0,0,0,0.0,0
422,4858.629975169897,1576,28,0,0,0.0,0
4366,5763.849920779467,1028,1,0,0,0.0,0
3703,377.9199969768524,112,29,0,0,0.0,0
4405,10481.92989397049,2171,7,0,0,0.0,0
4406,3291.1399881243706,1010,1,0,0,0.0,0
4414,10784.689940333366,3477,1,0,0,0.0,0
4420,14150.29989039898,3468,5,0,0,0.0,0
428,8725.389947086573,2274,1,0,0,0.0,0
4439,11283.069975316525,1848,5,0,0,0.0,0
4453,7988.159947542474,2782,2,0,0,0.0,0
4457,7251.259934825823,1949,4,0,0,0.0,0
4458,19328.639802929014,4199,9,0,0,0.0,0
4498,5108.449981376529,1406,0,0,0,0.0,0
4506,7572.699929535389,1681,5,0,0,0.0,0
438,35807.21969911456,6464,0,0,0,0.0,0
4568,8347.809961348772,1069,8,0,0,0.0,0
453,12767.669812351465,2575,2,0,0,0.0,0
459,5910.33995635435,1525,13,0,0,0.0,0
4594,7825.569946222007,1925,0,0,0,0.0,0
4603,8738.709961220622,1971,2,0,0,0.0,0
